"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"08/1993",209492000
"09/1993",201347000
"10/1993",212003000
"11/1993",207349000
"12/1993",212585000
"01/1994",211320000
"02/1994",189569000
"03/1994",209114000
"04/1994",198363000
"05/1994",207334000
"06/1994",198318000
"07/1994",201527000
"08/1994",202869000
"09/1994",198264000
"10/1994",206398000
"11/1994",198850000
"12/1994",209550000
"01/1995",207148000
"02/1995",190245000
"03/1995",204613000
"04/1995",198111000
"05/1995",205509000
"06/1995",197359000
"07/1995",199912000
"08/1995",199846000
"09/1995",192484000
"10/1995",199055000
"11/1995",197559000
"12/1995",202428000
"01/1996",201354000
"02/1996",190727000
"03/1996",203715000
"04/1996",193317000
"05/1996",198208000
"06/1996",193746000
"07/1996",196471000
"08/1996",197162000
"09/1996",194456000
"10/1996",200907000
"11/1996",194268000
"12/1996",201685000
"01/1997",198466000
"02/1997",182400000
"03/1997",200013000
"04/1997",193239000
"05/1997",200702000
"06/1997",193252000
"07/1997",198691000
"08/1997",196769000
"09/1997",194575000
"10/1997",200482000
"11/1997",193778000
"12/1997",202464000
"01/1998",202756000
"02/1998",181321000
"03/1998",198639000
"04/1998",194483000
"05/1998",196754000
"06/1998",188018000
"07/1998",192026000
"08/1998",192282000
"09/1998",173676000
"10/1998",190420000
"11/1998",184198000
"12/1998",187347000
"01/1999",184864000
"02/1999",167034000
"03/1999",182362000
"04/1999",176616000
"05/1999",182122000
"06/1999",172808000
"07/1999",179738000
"08/1999",179187000
"09/1999",174113000
"10/1999",184361000
"11/1999",178811000
"12/1999",184716000
"01/2000",179316000
"02/2000",169703000
"03/2000",183464000
"04/2000",175625000
"05/2000",181242000
"06/2000",174686000
"07/2000",177920000
"08/2000",179451000
"09/2000",172731000
"10/2000",180080000
"11/2000",174980000
"12/2000",181508000
"01/2001",179767000
"02/2001",161843000
"03/2001",182290000
"04/2001",175879000
"05/2001",180712000
"06/2001",172974000
"07/2001",178208000
"08/2001",177488000
"09/2001",171270000
"10/2001",178129000
"11/2001",176441000
"12/2001",182511000
"01/2002",182076000
"02/2002",164666000
"03/2002",182460000
"04/2002",175333000
"05/2002",183057000
"06/2002",176532000
"07/2002",178275000
"08/2002",179670000
"09/2002",162336000
"10/2002",166105000
"11/2002",168706000
"12/2002",177372000
"01/2003",178412000
"02/2003",161920000
"03/2003",179907000
"04/2003",171774000
"05/2003",175568000
"06/2003",169772000
"07/2003",170452000
"08/2003",172787000
"09/2003",168270000
"10/2003",174020000
"11/2003",166397000
"12/2003",172715000
"01/2004",173132000
"02/2004",161583000
"03/2004",174115000
"04/2004",166810000
"05/2004",172235000
"06/2004",162208000
"07/2004",170011000
"08/2004",165072000
"09/2004",152444000
"10/2004",160270000
"11/2004",162699000
"12/2004",170815000
"01/2005",168831000
"02/2005",154038000
"03/2005",173626000
"04/2005",166885000
"05/2005",173491000
"06/2005",163263000
"07/2005",162854000
"08/2005",161153000
"09/2005",126417000
"10/2005",141200000
"11/2005",145708000
"12/2005",154630000
"01/2006",156480000
"02/2006",140894000
"03/2006",155842000
"04/2006",152450000
"05/2006",159667000
"06/2006",154884000
"07/2006",157919000
"08/2006",156232000
"09/2006",150926000
"10/2006",158353000
"11/2006",151926000
"12/2006",160768000
"01/2007",158342000
"02/2007",143301000
"03/2007",158697000
"04/2007",155407000
"05/2007",161548000
"06/2007",152254000
"07/2007",156175000
"08/2007",154060000
"09/2007",147061000
"10/2007",155680000
"11/2007",151021000
"12/2007",158427000
"01/2008",158566000
"02/2008",149297000
"03/2008",160868000
"04/2008",155403000
"05/2008",159437000
"06/2008",154133000
"07/2008",160481000
"08/2008",155092000
"09/2008",119208000
"10/2008",146868000
"11/2008",152343000
"12/2008",158183000
"01/2009",159467000
"02/2009",146698000
"03/2009",161776000
"04/2009",158344000
"05/2009",166684000
"06/2009",158079000
"07/2009",167336000
"08/2009",167945000
"09/2009",166765000
"10/2009",171258000
"11/2009",161838000
"12/2009",169004000
"01/2010",167529000
"02/2010",155496000
"03/2010",170976000
"04/2010",161769000
"05/2010",167427000
"06/2010",161385000
"07/2010",164234000
"08/2010",168867000
"09/2010",168473000
"10/2010",174547000
"11/2010",167272000
"12/2010",173831000
"01/2011",170393000
"02/2011",151354000
"03/2011",174158000
"04/2011",166858000
"05/2011",174363000
"06/2011",167673000
"07/2011",168635000
"08/2011",175618000
"09/2011",168411000
"10/2011",182977000
"11/2011",181157000
"12/2011",189487000
"01/2012",191472000
"02/2012",181783000
"03/2012",196138000
"04/2012",189601000
"05/2012",197456000
"06/2012",188262000
"07/2012",199368000
"08/2012",196867000
"09/2012",197942000
"10/2012",216057000
"11/2012",212472000
"12/2012",220282000
"01/2013",219601000
"02/2013",200383000
"03/2013",223683000
"04/2013",221242000
"05/2013",227139000
"06/2013",218355000
"07/2013",233210000
"08/2013",233599000
"09/2013",235177000
"10/2013",240600000
"11/2013",237597000
"12/2013",245937000
"01/2014",250430000
"02/2014",228396000
"03/2014",257225000
"04/2014",255822000
"05/2014",268025000
"06/2014",262291000
"07/2014",274273000
"08/2014",276909000
"09/2014",272623000
"10/2014",287256000
"11/2014",279821000
"12/2014",296518000
"01/2015",290891000
"02/2015",266154000
"03/2015",297091000
"04/2015",289755000
"05/2015",293711000
"06/2015",280734000
"07/2015",292807000
"08/2015",291702000
"09/2015",284406000
"10/2015",291419000
"11/2015",279982000
"12/2015",287533000
"01/2016",285262000
"02/2016",262902000
"03/2016",282132000
"04/2016",266219000
"05/2016",273875000
"06/2016",260284000
"07/2016",268526000
"08/2016",269386000
"09/2016",256317000
"10/2016",272918000
"11/2016",267097000
"12/2016",273288000
"01/2017",275117000
"02/2017",255081000
"03/2017",284146000
"04/2017",273041000
"05/2017",284727000
"06/2017",273321000
"07/2017",286657000
"08/2017",286759000
"09/2017",285499000
"10/2017",299726000
"11/2017",302564000
"12/2017",309486000
"01/2018",310032000
"02/2018",287870000
"03/2018",324467000
"04/2018",314996000
"05/2018",323491000
"06/2018",319216000
"07/2018",337814000
"08/2018",353154000
"09/2018",343298000
"10/2018",356767000
"11/2018",356583000
"12/2018",370284000
"01/2019",367924000
"02/2019",326845000
"03/2019",369292000
"04/2019",364458000
"05/2019",376763000
"06/2019",366546000
"07/2019",368965000
"08/2019",387073000
"09/2019",377710000
"10/2019",397094000
"11/2019",390010000
"12/2019",402314000
"01/2020",398420000
"02/2020",372419000
"03/2020",396693000
"04/2020",357412000
"05/2020",301105000
"06/2020",313275000
"07/2020",341184000
"08/2020",327875000
"09/2020",327623000
"10/2020",324180000
"11/2020",335867000
"12/2020",346223000
"01/2021",344846000
"02/2021",277891000
"03/2021",351102000
"04/2021",339142000
"05/2021",352036000
"06/2021",340693000
"07/2021",351757000
"08/2021",349600000
"09/2021",327526000
"10/2021",358626000
"11/2021",353702000
"12/2021",360666000
"01/2022",352449000
"02/2022",316851000
"03/2022",362725000
"04/2022",350052000
"05/2022",360503000
"06/2022",353918000
"07/2022",368077000
"08/2022",371233000



"Publisher:", "Energy Information Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
